,Country,City,AccentCity,Region,Population,Latitude,Longitude
3026837,us,denton,Denton,TX,100975.0,33.214722200000004,-97.1327778
3027061,us,el paso,El Paso,TX,597181.0,31.758611100000003,-106.4863889
3027325,us,fort worth,Fort Worth,TX,618119.0,32.7252778,-97.3205556
3027423,us,garland,Garland,TX,217219.0,32.9125,-96.6386111
3027545,us,grand prairie,Grand Prairie,TX,141122.0,32.7458333,-96.9975
3027895,us,houston,Houston,TX,2027712.0,29.763055600000005,-95.3630556
3027990,us,irving,Irving,TX,193825.0,32.813888899999995,-96.9486111
3028142,us,killeen,Killeen,TX,103009.0,31.116944399999998,-97.7275
3028329,us,laredo,Laredo,TX,210769.0,27.5061111,-99.5072222
3028553,us,lubbock,Lubbock,TX,211387.0,33.5777778,-101.8547222
3028795,us,mesquite,Mesquite,TX,131337.0,32.7666667,-96.5988889
3029392,us,pasadena,Pasadena,TX,144696.0,29.6908333,-95.2088889
3029558,us,plano,Plano,TX,253372.0,33.019722200000004,-96.6986111
3029824,us,richardson,Richardson,TX,104791.0,32.9480556,-96.7294444
3030034,us,san antonio,San Antonio,TX,1256810.0,29.4238889,-98.4933333
3030871,us,waco,Waco,TX,118967.0,31.5491667,-97.1463889
3031067,us,wichita falls,Wichita Falls,TX,101212.0,33.913611100000004,-98.4930556
3032532,us,provo,Provo,UT,105764.0,40.2338889,-111.6577778
3032621,us,salt lake city,Salt Lake City,UT,178026.0,40.7608333,-111.8902778
3033023,us,west jordan,West Jordan,UT,101031.0,40.6097222,-111.93833329999998
3033032,us,west valley city,West Valley City,UT,113112.0,40.6916667,-112.0002778
3034275,us,alexandria,Alexandria,VA,127273.0,38.8047222,-77.04722220000001
3034377,us,arlington,Arlington,VA,185360.0,38.8902778,-77.0844444
3035374,us,chesapeake,Chesapeake,VA,219124.0,36.8188889,-76.2752778
3036811,us,hampton,Hampton,VA,147993.0,37.0297222,-76.3455556
3038446,us,newport news,Newport News,VA,183444.0,36.9786111,-76.42833329999999
3038477,us,norfolk,Norfolk,VA,246216.0,36.8466667,-76.2855556
3039256,us,richmond,Richmond,VA,190886.0,37.553611100000005,-77.46055559999999
3040401,us,virginia beach,Virginia Beach,VA,449386.0,36.8527778,-75.9783333
3041088,us,bellevue,Bellevue,WA,111927.0,47.610555600000005,-122.19944440000002
3042800,us,seattle,Seattle,WA,569369.0,47.6063889,-122.33083329999998
3042909,us,spokane,Spokane,WA,197262.0,47.6588889,-117.425
3042991,us,tacoma,Tacoma,WA,196957.0,47.2530556,-122.44305559999998
3043109,us,vancouver,Vancouver,WA,157517.0,45.6388889,-122.6602778
3047649,us,green bay,Green Bay,WI,101012.0,44.5191667,-88.0197222
3048077,us,madison,Madison,WI,224625.0,43.0730556,-89.4011111
3048190,us,milwaukee,Milwaukee,WI,579180.0,43.0388889,-87.90638890000001
